track,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,Hit_or_Flop,Era,id
My Fallen Angel,Coro,spotify:track:4Giio956wWyTnnCy1rn7ti,0.76,0.733,10,-9.312,0,0.0675,0.00621,0.0105,0.0401,0.797,124.058,340773,4,47.4294,12,1,90s,26451
I mechat so gern,Hans Söllner,spotify:track:2kdn0hxNEKtMQDFX6aiJwo,0.777,0.223,5,-15.89,1,0.706,0.747,0.0,0.747,0.779,124.852,359733,4,50.8462,10,0,80s,21922
I'm Old Fashioned,Cassandra Wilson,spotify:track:6KIh0xv79hVtnIumlNty4u,0.511,0.397,8,-15.15,1,0.0923,0.0301,0.0,0.0698,0.521,135.218,183960,4,23.35495,10,0,10s,35316
The Wild Horde - 2nd Version,Ennio Morricone,spotify:track:2ynYgSRsKNdDnBiHyqRHsr,0.197,0.243,9,-13.387,0,0.0466,0.869,0.957,0.0963,0.234,117.667,80987,4,18.15987,3,0,70s,11486
Teenage Travelogue,Keith Mansfield,spotify:track:59TmKUDIZM0dWQzZpe2cE3,0.524,0.496,0,-10.284,1,0.0331,0.866,0.874,0.109,0.641,173.489,166867,5,33.23891,8,0,60s,3487
12XU,Wire,spotify:track:0er101duYRhx2Nb7v0ud0s,0.678,0.58,11,-12.551,1,0.0599,0.105,0.0339,0.365,0.736,104.062,115331,4,19.18286,8,0,70s,9813
In the Upper Room: Dance VIII,Philip Glass,spotify:track:0FlBKsDKBCFoYwmg1L0vS0,0.351,0.173,5,-23.48,0,0.0409,0.988,0.955,0.151,0.214,168.342,301653,3,48.34614,17,0,70s,11697
I Live My Life For You,Firehouse,spotify:track:4vHp893kV7HksfB5FN1Nk5,0.519,0.517,1,-7.531,1,0.0286,0.0537,0.0,0.0928,0.344,141.808,261827,4,23.65975,12,1,90s,25889
This Is It,Kenny Loggins,spotify:track:0YO8KsprTrEUEvJevpI7Na,0.641,0.497,7,-12.228,0,0.029,0.254,2.2e-06,0.159,0.743,102.274,236733,4,37.56538,13,1,70s,16205
Closer,Seaway,spotify:track:2Mfg9VKNW2txe2gNjIi1Az,0.613,0.585,8,-6.693,1,0.0251,0.077,0.00015,0.115,0.644,97.999,252604,4,20.22321,14,0,10s,38774
TRUE,Ryan Cabrera,spotify:track:0jdeV5dSB3kUBRqe1xQJbh,0.598,0.4,6,-10.054,1,0.0241,0.459,0.0,0.151,0.369,96.938,203546,4,38.9938,10,1,00s,32481
Where Were You When I Needed You,Jerry Vale,spotify:track:7lPSEIzv0GFZj8KEnaFR75,0.418,0.37,5,-12.8,1,0.0298,0.818,0.0,0.333,0.567,110.213,153227,4,32.06441,8,1,60s,4323
Reasons For Being,Deep Watch,spotify:track:5tY0sWgi6v0UEibwYjfWlL,0.141,0.0282,7,-30.003,0,0.0454,0.98,0.906,0.104,0.0658,145.22,176391,3,25.45931,12,0,10s,39403
"Drink, Swear, Steal & Lie",Michael Peterson,spotify:track:3ZdAwMX7Lku81KGiqsjDeA,0.672,0.697,11,-7.223,1,0.0251,0.427,0.0,0.131,0.757,103.358,182307,4,25.28072,10,1,90s,23637
Is It Because I'm Black,Syl Johnson,spotify:track:2tqd5MGF8wXhpHoOKXoF3A,0.755,0.528,8,-8.946,0,0.072,0.33,0.0,0.142,0.883,135.104,454853,4,29.72269,17,1,60s,2847
Who's Gonna Be Your Man?,Ella Jenkins,spotify:track:6CeBBXN4KOhiGwJ662PYDl,0.562,0.0913,4,-13.284,0,0.115,0.955,0.0,0.286,0.841,187.278,136867,3,64.02353,6,0,90s,28125
Serenade,Claude Bolling,spotify:track:02wmhdAd7FdAG7QB8LvV3p,0.281,0.443,9,-18.544,1,0.0424,0.93,0.894,0.116,0.669,175.423,287067,3,30.25572,14,0,70s,10398
You're Sixteen,Johnny Burnette,spotify:track:5NOITvzXKvrqsRqJz5FgIJ,0.434,0.458,2,-8.861,1,0.0351,0.797,0.0,0.0698,0.749,76.269,119000,4,24.41049,6,1,60s,6242
Fell In Love On Monday,Fats Domino,spotify:track:499iOZxvZrkYGh0sHffvbZ,0.633,0.495,5,-10.633,1,0.0263,0.877,1.67e-05,0.395,0.887,109.354,119307,3,59.33275,6,1,60s,8437
You Don't Know Her Like I Do,Brantley Gilbert,spotify:track:4WnY4W5KrqglCdIus8X9Bo,0.49,0.716,4,-6.681,1,0.0441,0.022,0.00048,0.0526,0.288,74.988,286520,4,87.68203,7,1,10s,37882
Tu es là,Johnny Hallyday,spotify:track:7urnCD6naZYxqHRNaaf7rr,0.656,0.455,7,-10.257,0,0.12,0.904,0.0,0.0972,0.937,69.662,95293,4,45.85339,3,0,60s,4898
Black Light,Novembers Doom,spotify:track:2IinbdfYmOpFOCM4h8XJgo,0.311,0.865,6,-13.012,1,0.056,5.09e-05,0.259,0.117,0.375,180.025,369948,4,23.30784,13,0,10s,38803
No Sad Songs,Joe Simon,spotify:track:4PDlTwn2Rcc4bcgBndE9Zy,0.629,0.387,0,-12.652,1,0.0306,0.885,0.0719,0.236,0.828,134.001,138387,4,39.54538,8,1,60s,8028
Agapimu,Ana Belén,spotify:track:0cqr98JhH5wbJQS7ciM2L3,0.56,0.782,3,-10.966,1,0.125,0.626,0.000115,0.0387,0.938,171.974,213867,3,42.30884,9,0,70s,10648
Goner,Born To Hula,spotify:track:0eGGYmvTtSKgx1I5GfS0wm,0.528,0.844,9,-6.3,0,0.168,0.0158,0.0,0.0715,0.954,177.187,130600,4,42.0333,7,0,00s,32733
I Think We're Alone Now,Tommy James & The Shondells,spotify:track:3AXDLGI5TIYi72JcYFvNpv,0.783,0.42,11,-11.05,0,0.103,0.0722,0.0316,0.0692,0.716,131.75,130320,4,38.315,7,0,60s,6427
Roof Fight,Danny Elfman,spotify:track:3DSPWrv2I3nDjYIHuPnQo2,0.283,0.29,2,-20.951,0,0.0547,0.386,0.689,0.136,0.107,104.002,81827,3,25.32953,3,0,80s,16618
Brown Shoes Don't Make It,Frank Zappa,spotify:track:2fHX19msDvOUL4GlEKtW0m,0.28,0.566,4,-9.711,0,0.0723,0.493,2.44e-06,0.611,0.32,78.089,449227,4,37.60221,19,0,60s,3523
In My Room,Graham Coxon,spotify:track:2cLRvkDO7OOw3HHSj7wZeJ,0.686,0.684,6,-7.632,0,0.0275,0.29,0.0861,0.24,0.596,97.016,228707,4,45.45014,11,0,10s,37628
Secret Lovers,Atlantic Starr,spotify:track:4nKPgKXfFiPW7cNex5oDtt,0.339,0.379,0,-15.08,1,0.0528,0.653,3.56e-06,0.219,0.429,74.142,330667,4,25.66942,18,1,80s,17761
Holly Jolly Christmas (Instrumental Version),Matt Carlson,spotify:track:62WcsG8bXBKJPzKxBgDQ8n,0.645,0.132,0,-15.407,1,0.0978,0.962,0.905,0.133,0.633,136.15,140750,4,42.89542,6,0,10s,37372
We Should Be Sleeping,Eddie Money,spotify:track:5SiBwhJY4PDLekb0HDlygl,0.559,0.719,9,-10.685,1,0.0548,0.00208,0.0,0.539,0.67,117.044,235640,4,50.54071,12,1,80s,19122
John Barleycorn,Kenny Baker,spotify:track:1UgfiXJCWaWuoillaX3fFp,0.607,0.474,7,-12.475,1,0.124,0.65,0.0,0.956,0.946,133.899,133253,4,42.48188,6,0,90s,23534
Monkey Island,Dubmood,spotify:track:30sHxvIflGaWj7nnd3oSTo,0.668,0.981,6,-3.896,0,0.0484,0.458,0.933,0.0504,0.898,94.45,110332,4,49.96553,6,0,00s,33829
Triad (mysterious),Deuter,spotify:track:57iDTPNq7DzBWPLeGy950l,0.204,0.00131,4,-23.464,1,0.046,0.723,0.953,0.105,0.0,82.075,66307,1,8.61664,3,0,70s,12597
Step Down,Sick Of It All,spotify:track:6DE037vHREtIRYjqzZ8fkf,0.369,0.836,7,-8.257,1,0.063,2.32e-05,0.291,0.44,0.541,88.978,189027,4,50.73619,7,0,90s,23978
Blue Bayou,Linda Ronstadt,spotify:track:3zxklD2EGecZre9MjEEvIU,0.732,0.161,11,-12.817,1,0.0306,0.739,0.000379,0.105,0.5,95.21,239400,4,31.84912,12,1,70s,8679
Aplasta Sus Creencias - Total Desecration (Outro),Blasfemia,spotify:track:3LbhNY773szt7skTcgklEq,0.221,0.986,8,-6.237,0,0.192,1.97e-05,0.909,0.2,0.104,99.004,251983,4,75.32489,5,0,10s,37161
Skotch Hop,Mr. Bill,spotify:track:1KEks6Ih8iwNasF1Koqulw,0.842,0.683,6,-8.954,0,0.159,0.00498,0.473,0.233,0.668,109.992,240799,4,35.95006,10,0,10s,36896
Yeh Duniya Badi Bewfaa (remastered),Lata Mangeshkar,spotify:track:0ewjxPyMwaYM4n8MBLk0un,0.393,0.371,1,-14.762,0,0.189,0.967,0.00392,0.189,0.386,95.859,276376,4,17.74714,15,0,00s,31465
Let's Have A Party,Wanda Jackson,spotify:track:1DPtOonjrvAG4XCqkccqhY,0.507,0.834,4,-11.49,1,0.0741,0.334,4.39e-06,0.838,0.741,80.482,181773,4,39.40355,7,1,60s,4426
Een Teken Van Leven,De Kast,spotify:track:0JxmbfILO7PonhYu7YR4By,0.529,0.497,7,-9.159,1,0.0248,0.296,0.0,0.129,0.413,83.023,279107,4,34.23996,13,0,90s,24921
It's The Little Things,Sonny & Cher,spotify:track:3C5N3TKP8BjJaRS8h2Fo3V,0.491,0.626,0,-8.511,1,0.0378,0.164,0.0,0.079,0.627,130.105,186067,4,46.16569,11,1,60s,1368
Songman,Cashman & West,spotify:track:2hsC9lj7ZtXUEn74bxBEAj,0.328,0.454,2,-14.477,1,0.0393,0.223,0.0085,0.11,0.809,198.734,220198,4,68.57928,9,1,70s,10877
Give Me Your Love,Barbara Mason,spotify:track:3rNgQNJ8dFcTxabYUnFwXd,0.54,0.597,4,-12.315,0,0.0942,0.271,0.0,0.324,0.768,85.471,178400,4,108.01568,5,1,70s,10746
Love's Made a Fool of You,The Bobby Fuller Four,spotify:track:0lqjjDD7fsO4cgLxs9yWaN,0.56,0.911,9,-2.536,1,0.0569,0.134,6.9e-06,0.0589,0.85,149.911,121107,4,30.12321,7,0,10s,37492
Just Can't Hate Enough,Sheer Terror,spotify:track:1qrzQuZ0CegX3PQtrsek7R,0.352,0.995,8,-4.283,1,0.135,0.0168,0.0,0.241,0.162,91.86,104600,4,22.40644,4,0,00s,32670
Donald Trump,Mac Miller,spotify:track:3uulVrxiI7iLTjOBZsaiF8,0.636,0.901,1,-7.094,0,0.118,0.119,0.0,0.391,0.836,162.994,165908,4,24.00383,8,1,10s,36180
Countryfied Inner City Blues,The Suicide Twins,spotify:track:2rjV47ddV799mKc5hujIWN,0.668,0.631,4,-13.6,0,0.0472,0.23,2.89e-06,0.38,0.694,113.814,259893,3,55.65929,11,0,80s,16483
Perfume,Britney Spears,spotify:track:0DOgMeHlNponAEqczZoxX0,0.39,0.557,3,-6.344,1,0.0521,0.452,0.0,0.125,0.317,79.34,239973,4,61.20532,6,1,10s,38309
If Not For You (Demo),Shakey Graves,spotify:track:3HUCTp20rxqMnCtdyU7JgU,0.634,0.433,2,-8.018,1,0.0256,0.864,0.00858,0.102,0.268,101.791,191671,4,34.96463,9,0,10s,39475
"The Ballad of Sweeney Todd: ""Sweeney Pondered and Sweeney Planned""",Stephen Sondheim,spotify:track:2vaIZdW4YI9EJn8dFrB955,0.546,0.62,8,-11.298,1,0.104,0.972,8.41e-06,0.409,0.366,132.445,31107,4,7.69751,3,0,70s,8935
Love You All My Lifetime,Chaka Khan,spotify:track:2yTswsiLkNGzzzX54WroNS,0.693,0.827,10,-6.437,0,0.0483,0.0114,0.189,0.32,0.906,103.087,281680,4,72.96594,12,1,90s,24158
Lukewarm Love Song,The Cleaners From Venus,spotify:track:0KFfeUyP6jdvQD05C5rL0C,0.607,0.82,11,-7.361,1,0.0856,0.487,0.0371,0.941,0.695,123.384,257947,4,51.02374,10,0,80s,21403
"Cara, Mia",Jay & The Americans,spotify:track:0Arrnl9EB7LtzPISpNBQQf,0.366,0.707,0,-9.392,1,0.046,0.29,3.17e-05,0.505,0.525,127.701,153160,4,23.77226,5,1,60s,7347
Touma Rap,Oumou Dioubate,spotify:track:2La1MzvdLXB5cWRSPY0pGb,0.788,0.757,4,-5.159,0,0.0367,0.694,8e-06,0.161,0.879,99.97,371400,4,44.99264,11,0,00s,29378
"Come On, Let's Go",Los Lobos,spotify:track:7lAVmqRbm79nGN4auDjJ9b,0.41,0.814,9,-9.053,1,0.0373,0.104,0.00613,0.0959,0.766,176.35,119960,4,31.17711,5,1,80s,22851
Have A Nice Day,Stereophonics,spotify:track:6JWddKPdqvDc2WkPEi9grC,0.508,0.826,1,-4.088,0,0.0405,0.018,0.0,0.28,0.404,120.854,205067,4,64.31488,9,0,00s,30499
Rock & Roll Runaway,Ace,spotify:track:2WB9JEZNgw2K9t1RECfpqq,0.551,0.413,4,-14.871,1,0.0332,0.165,0.533,0.0826,0.849,172.253,188387,4,34.65784,10,1,70s,9369
Me So Horny,The 2 Live Crew,spotify:track:3EgvmOhP3NQUHY7d6PDOUg,0.941,0.727,0,-11.592,1,0.228,0.00472,0.000811,0.177,0.623,128.746,276467,4,28.43392,11,1,80s,21107
Sentimental,Deborah Cox,spotify:track:1W8dIZW0oC716qoaL9NwJH,0.773,0.79,5,-8.057,1,0.0782,0.193,0.0,0.0356,0.712,88.977,270333,4,30.1339,15,1,90s,28715
Who Needs The Peace Corps?,Frank Zappa,spotify:track:7nRQVIdZYu6FquvgLeH0Gy,0.52,0.52,4,-12.81,0,0.0372,0.817,0.0,0.555,0.588,109.349,154133,4,27.53931,8,0,60s,3553
Hillbilly Bone,Blake Shelton Featuring Trace Adkins,spotify:track:40T9vgCE3W4Y6QePIkQBEm,0.603,0.946,7,-4.172,1,0.0463,0.0558,6.51e-05,0.114,0.912,144.019,224907,4,32.05529,11,1,10s,35010
Love Kills,Freddie Mercury,spotify:track:4HeNuE5fHrBQFErXCdVU7s,0.662,0.662,8,-10.83,1,0.0447,0.000877,0.0022,0.0811,0.277,126.739,269587,4,38.33372,12,1,80s,17652
Pua Hone,The Brothers Cazimero,spotify:track:2Y579kQwREtBRxOzelmCGJ,0.409,0.119,2,-20.261,1,0.0373,0.813,0.000415,0.129,0.376,120.639,224933,4,42.41307,14,0,70s,15040
Não Marque as Horas,Cátia de França,spotify:track:5Pw3EOLqgOetvpyXITNH4M,0.582,0.709,11,-6.863,1,0.0359,0.314,0.0,0.138,0.711,127.802,126307,4,29.64038,6,0,80s,19426
Twilight,Electric Light Orchestra,spotify:track:03ZVEpSeeJfROJW65OHgsf,0.312,0.7,0,-10.876,1,0.0613,0.43,1.22e-05,0.827,0.199,139.588,221960,4,66.47103,9,1,80s,22391
As We're Told,Samiam,spotify:track:4hBnIokbMg3LUPJxQvNbfI,0.342,0.873,9,-6.315,1,0.0339,0.000345,0.0255,0.0762,0.577,93.551,204307,4,78.89666,6,0,90s,26617
Lights Dim (Ambient),The American Dollar,spotify:track:34UY6BjtPEMuvxAYViFvE8,0.236,0.272,1,-17.844,1,0.0389,0.942,0.879,0.102,0.087,137.938,89067,4,19.29366,5,0,10s,40777
homecoming queen?,Kelsea Ballerini,spotify:track:1s71G3V7XQaVo5IOR6gLbp,0.462,0.512,9,-5.443,1,0.0334,0.478,0.0,0.0993,0.29,114.014,167796,4,24.65266,9,1,10s,35772
Make It Happen,Mariah Carey,spotify:track:5UVcgBRW78CCcKCopEGAST,0.811,0.53,2,-8.537,0,0.0355,0.0067,0.0285,0.0801,0.75,107.853,307000,4,24.64975,14,1,90s,26395
Don't Let Me Be Lonely,The Band Perry,spotify:track:1vjx9wZEyhhM1VRmIoDiRk,0.597,0.682,1,-4.573,1,0.0283,0.124,0.0,0.0808,0.336,111.022,251227,4,22.90087,10,1,10s,35125
Prayer For The Dying,Seal,spotify:track:7pzWp50ZQXM44dfDbyMY9l,0.306,0.762,5,-7.519,1,0.051,0.332,0.00605,0.0835,0.15,99.903,330267,4,21.22064,15,1,90s,27393
Glassworks: IV. Rubric,Philip Glass,spotify:track:0i68Yl4gSwpxtMsYPXvsZE,0.542,0.566,3,-11.721,1,0.0293,0.701,0.0113,0.172,0.754,94.601,364573,4,59.58851,12,0,80s,16644
Shortie Like Mine,Bow Wow Featuring Chris Brown & Johnta Austin,spotify:track:6oUGAx0vkBcnGzYkvw0ZsA,0.758,0.642,7,-8.128,0,0.221,0.0745,0.0,0.191,0.701,142.078,268067,4,28.39168,15,1,00s,31983
Can't You See You're Meant For Me,Mighty Sparrow,spotify:track:5S0u3u51VVAOA2CfSwMgQ7,0.483,0.251,10,-13.721,1,0.0354,0.845,0.0,0.195,0.597,114.763,148427,1,40.85497,8,0,60s,3727
Eddie's Love,Eddie Kendricks,spotify:track:2IoP69pwUhyOtCACHEbhko,0.485,0.491,0,-11.675,0,0.0351,0.55,0.000499,0.113,0.623,142.857,265613,4,26.50734,14,1,70s,13351
Queimada (Seconda) - Remastered,Ennio Morricone,spotify:track:79YhneCNTj9vrR1avExqso,0.528,0.843,9,-10.565,1,0.0442,0.382,0.825,0.106,0.835,107.77,244040,4,32.60299,16,0,60s,2449
You Look Marvelous,Billy Crystal,spotify:track:53O9F3s7Dya1csh1Kz6BGP,0.656,0.772,5,-13.801,1,0.0781,0.0841,0.0,0.966,0.886,112.52,264960,4,24.62769,9,1,80s,22752
Forever Mine,The Motels,spotify:track:5rvqkpDQLApfyIprLaDtCO,0.738,0.601,11,-15.91,0,0.204,0.0058,0.0111,0.137,0.117,89.959,212160,4,18.02308,11,1,80s,17677
This Corrosion - 12'' Version,Sisters of Mercy,spotify:track:57V7OfHdkBrgZWi0xxbd54,0.529,0.831,7,-11.346,1,0.0575,0.0698,0.00869,0.127,0.771,149.639,526037,4,26.61827,16,0,80s,21496
No Myth,Michael Penn,spotify:track:4SZozsPsG0vJ2Ti8BGxKsR,0.633,0.795,0,-7.617,1,0.0319,0.054,8.83e-05,0.34,0.833,103.504,250813,4,72.89685,10,1,90s,23382
Por La Vida (For Life),Noel Nicola,spotify:track:6cnnuv132BGL2EBQL8j8AQ,0.686,0.219,7,-12.696,1,0.106,0.87,0.000272,0.108,0.734,103.018,86547,4,39.78855,5,0,70s,13624
Roots Rock Jabali,TootArd,spotify:track:7ve8LfZjy00eNwrwZ4pLVO,0.731,0.61,5,-9.394,0,0.034,0.15,0.124,0.135,0.862,98.031,245733,4,22.04892,12,0,10s,35478
Electrolux,Hoover,spotify:track:3CHa595QGc2z6yongCQTQc,0.477,0.444,9,-8.912,1,0.045,0.000201,0.703,0.16,0.246,133.458,429080,3,27.11942,20,0,90s,26225
Save Me,Brighton Rock,spotify:track:4ojfhSnJLfTss9CYG8yNXV,0.497,0.812,7,-14.401,1,0.0464,0.0272,0.00115,0.278,0.305,136.373,210373,4,30.69333,10,0,80s,16565
I Can't Let Go,The Hollies,spotify:track:32fWqBY388oQqEtDCXKMil,0.441,0.569,7,-7.996,1,0.0353,0.486,1.3e-06,0.108,0.71,128.194,147040,4,34.8134,8,1,60s,6576
I'm So Excited,The Pointer Sisters,spotify:track:6o8zvk4UF8chcVMLHLvU1n,0.634,0.889,5,-4.997,0,0.0409,0.0123,1.87e-05,0.809,0.34,96.567,460653,4,28.76984,16,1,80s,23253
Mary Jane,Rick James,spotify:track:5hWLHFSmomXmeTXEE478My,0.537,0.82,11,-7.011,0,0.127,0.256,1.93e-06,0.432,0.881,94.434,297347,4,30.86784,14,1,70s,14346
Train,Sisters of Mercy,spotify:track:09pzlvfQuulOekYfY6FGkR,0.508,0.888,6,-13.155,1,0.0292,8.82e-05,0.724,0.353,0.82,148.212,167827,4,49.59997,8,0,80s,21127
Tiab Guls - Remastered,Throbbing Gristle,spotify:track:0G8SZrRITHQd5Hy1cnIJPy,0.236,0.454,1,-19.168,1,0.0407,0.936,0.929,0.111,0.188,91.925,258438,4,92.38081,7,0,80s,17586
Love On A Rooftop,Desmond Child,spotify:track:3GoeTGM9kbkVnYiWyz7Ps5,0.613,0.754,3,-8.128,1,0.031,0.179,1.59e-06,0.211,0.662,107.967,318227,4,56.61303,18,1,90s,24760
Hold My Hand,Hootie & The Blowfish,spotify:track:4WnYuVFXe6Si4fZqkxbnvS,0.22,0.769,11,-5.125,1,0.054,0.208,0.0,0.0985,0.495,170.773,258333,4,36.24855,8,1,90s,28798
Il n'y a pas d'amour heureux,Barbara,spotify:track:63fTAXSNcHe4abrKYQrGrW,0.524,0.0869,5,-15.089,0,0.114,0.905,0.0,0.115,0.478,168.412,129040,4,52.27298,6,0,60s,6401
Inner Cities II,Alvin Curran,spotify:track:4mV8jh5GVX5xMhcGCFuRfN,0.362,0.00131,1,-31.666,0,0.0585,0.995,0.893,0.0959,0.0356,66.491,1223040,3,126.02878,44,0,00s,32674
Don't Walk Away,Toni Childs,spotify:track:4R9rKeBJjQSMiKIXacPPEI,0.66,0.814,11,-10.808,1,0.0345,0.065,1.24e-05,0.119,0.722,115.134,238973,4,29.60502,12,1,80s,22324
First Warning #2,Jerry Goldsmith,spotify:track:7EVnAABRPReCpGCaYw96ZR,0.429,0.0499,0,-26.888,0,0.0568,0.991,0.965,0.0948,0.303,81.519,39994,3,0.0,2,0,60s,351
Coco Decente,Ary Lobo,spotify:track:3A6gvxFWqboxbHLbaWOt0Z,0.494,0.707,7,-6.935,1,0.0487,0.506,0.0,0.207,0.964,102.271,131093,4,30.96534,6,0,60s,7293
Give Your Baby A Standing Ovation,The Dells,spotify:track:468bO2Lgk55gUGKZb143ks,0.433,0.764,4,-5.123,1,0.0977,0.367,0.0,0.504,0.708,137.012,274373,4,62.99619,8,1,70s,10821
Paint Me A Birmingham,Tracy Lawrence,spotify:track:2kZZq09uK0oR9wwYJvgacb,0.519,0.52,6,-4.547,1,0.03,0.0757,0.0,0.166,0.281,129.862,231053,4,30.35382,13,1,00s,32433
Most Of All,Jody Watley,spotify:track:26jC8SFZobz3bsUc32bxV8,0.729,0.708,5,-13.521,1,0.0402,0.146,0.0146,0.0508,0.889,112.729,268640,4,35.094,10,1,80s,19790
network 23,Tangerine Dream,spotify:track:0J9LDjOohzH1vbMY7U81Ll,0.699,0.497,9,-14.419,1,0.0283,0.0926,0.676,0.199,0.236,118.614,296493,4,115.79448,10,0,80s,18399
Once In A Lifetime,Keith Urban,spotify:track:10TLpTjjLKcpBN6kayS0mI,0.616,0.837,0,-5.266,1,0.0472,0.0592,0.00994,0.482,0.62,132.012,353813,4,47.09772,15,1,00s,33208
Hesitation Blues - Live,Hot Tuna,spotify:track:2ZA8w7VIA2A5bFmb3ViXoQ,0.524,0.2,0,-18.199,1,0.0391,0.28,0.0845,0.687,0.609,126.048,306867,4,26.95553,20,0,70s,15466
MakeDamnSure,Taking Back Sunday,spotify:track:6fx1fKIs5e0pBL5FpdC7RB,0.553,0.837,6,-5.608,1,0.0452,0.00941,0.0,0.372,0.432,140.495,208280,4,28.97667,7,1,00s,33426
Nothin' At All,Heart,spotify:track:4lCF99jVlxFpiAPCuvPfga,0.592,0.761,7,-6.947,1,0.0292,0.0878,1.57e-05,0.234,0.507,123.268,247566,4,86.96136,9,1,80s,17910
I've Got It Good (Good to Go Mix),Tricky Tee,spotify:track:4zog4mweW6UWMLg9ycGZEg,0.766,0.8,6,-7.261,0,0.147,0.000282,0.78,0.065,0.71,100.172,296344,4,15.76888,15,0,80s,22609
